speedX,speedY,speedZ,angle,trackPos,rpm,gear,steer_input,accel_input,brake_input
41.6337,0.0235506,0.02045,-0.0673726,0.450015,5819.94,1,0.0,1.0,0.0
42.547,0.023097,0.0298974,-0.0634974,0.452281,6446.36,1,0.0,1.0,0.0
43.5989,-0.0235932,0.0658837,-0.0600942,0.454446,6716.41,1,0.0,1.0,0.0
44.7314,-0.0122271,0.0812635,-0.0559381,0.45652,6734.66,1,0.0,1.0,0.0
45.7429,0.015129,0.063919,-0.051555,0.458507,7229.43,2,0.0,1.0,0.0
46.6755,-0.0579541,0.0296179,-0.0482257,0.460367,8064.5,3,0.0,1.0,0.0
47.818,-0.07346,0.0764344,-0.0441592,0.462086,8286.47,4,0.0,1.0,0.0
48.9734,-0.0100139,0.0961674,-0.0391796,0.4637,8499.38,5,1.0,1.0,0.0
49.847,-0.0759261,-0.00115419,-0.0355924,0.465175,9339.0,6,1.0,1.0,0.0
50.9225,-0.176526,0.013201,-0.0323871,0.466463,9340.63,6,1.0,1.0,0.0
51.8877,-0.136155,0.0383913,-0.027613,0.467589,5765.81,6,1.0,1.0,0.0
51.8766,-0.0663271,0.0678793,-0.0226343,0.468574,5742.51,6,0.0,1.0,0.0
51.8478,-0.0287617,0.0558121,-0.0177863,0.469391,5719.58,6,0.0,1.0,0.0
51.7906,0.52565,0.0539577,-0.0150765,0.470249,5697.03,6,0.0,1.0,0.0
51.6178,1.20875,0.0734556,-0.0176767,0.471643,5674.84,6,0.0,1.0,0.0
51.3378,1.82337,0.0706496,-0.0260394,0.473779,5653.01,6,0.0,1.0,0.0
51.0359,2.25179,0.0682384,-0.0394166,0.476767,3688.29,6,0.0,1.0,0.0
50.8267,2.5165,0.0526378,-0.0550745,0.480669,1540.07,5,0.0,1.0,0.0
50.8225,1.92568,-0.0463853,-0.0713299,0.485138,1555.64,5,0.0,1.0,0.0
50.8665,0.750262,0.067506,-0.0799645,0.489286,1571.14,5,0.0,1.0,0.0
50.8529,0.314907,0.0999022,-0.0798104,0.492989,1586.6,5,0.0,1.0,0.0
