track,car,speedX,speedY,speedZ,angle,trackPos,rpm,gear,distRaced,damage,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,focus0,focus1,focus2,focus3,focus4,wheelSpinVel0,wheelSpinVel1,wheelSpinVel2,wheelSpinVel3,opponents0,opponents1,opponents2,opponents3,opponents4,opponents5,opponents6,opponents7,opponents8,opponents9,opponents10,opponents11,opponents12,opponents13,opponents14,opponents15,opponents16,opponents17,opponents18,opponents19,opponents20,opponents21,opponents22,opponents23,opponents24,opponents25,opponents26,opponents27,opponents28,opponents29,opponents30,opponents31,opponents32,opponents33,opponents34,opponents35,steering,accel,brake,clutch,meta,focusCmd,is_ml,left,right,up,down,r,commandedGear
dirt-2,pw-evoviwrc,-12.0581,-12.1286,0.450471,-2.55201,-1.39266,1151.92,1,362.689,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.7033,-4.32768,-5.42789,-4.92345,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,28.6471,200.0,200.0,200.0,200.0,200.0,200.0,78.6144,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.1693223236005604,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-11.2902,-11.5569,0.417451,-2.53595,-1.38871,1151.92,1,362.765,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.09097,-4.03958,-4.782,-4.30436,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,28.3893,200.0,200.0,200.0,200.0,200.0,200.0,79.1207,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.1708562074205324,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-10.5293,-10.9784,0.378874,-2.52058,-1.38511,1151.92,1,362.837,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.83177,-3.56893,-4.26198,-3.80043,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,28.1344,200.0,200.0,200.0,200.0,200.0,200.0,79.6358,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.17231339704950577,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-9.77731,-10.3889,0.338165,-2.50595,-1.38183,1151.92,1,362.905,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.36135,-3.39276,-3.8372,-3.3838,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,27.8821,200.0,200.0,200.0,200.0,200.0,200.0,80.1594,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.17369772719703047,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-9.03512,-9.78554,0.297812,-2.49205,-1.37884,1151.92,1,362.969,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.17945,-2.96541,-3.48397,-3.03299,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,27.6323,200.0,200.0,200.0,200.0,200.0,200.0,80.691,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.17501284083717894,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-8.30679,-9.17181,0.250245,-2.47891,-1.37612,1151.92,1,363.028,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.87724,-2.69122,-3.16661,-2.58411,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,27.3828,200.0,200.0,200.0,200.0,200.0,200.0,81.2321,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.17626219879531999,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-7.57821,-8.53104,0.228904,-2.46651,-1.37365,1151.92,1,363.083,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.35431,-2.44456,-3.07345,-2.66221,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,27.1325,200.0,200.0,200.0,200.0,200.0,200.0,81.782,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.177449088855554,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-6.86254,-7.86981,0.208249,-2.45464,-1.37141,1151.92,1,363.134,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.32136,-2.10884,-2.78095,-2.35725,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,26.8842,200.0,200.0,200.0,200.0,200.0,200.0,200.0,82.3405,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.1785766344127763,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-6.15753,-7.19805,0.187401,-2.44339,-1.3694,1151.92,1,363.18,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.10854,-1.87431,-2.48611,-2.04922,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,26.6362,200.0,200.0,200.0,200.0,200.0,200.0,200.0,82.9074,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.17964780269213748,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
dirt-2,pw-evoviwrc,-5.46194,-6.5164,0.166692,-2.43284,-1.3676,1151.92,1,363.221,389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.73563,-1.7739,-2.20309,-1.76127,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,26.3849,200.0,200.0,200.0,200.0,200.0,200.0,83.4825,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,-0.1806654125575306,1.0,0.0,0.0,0,0,0,0,1,1,0,0,1
